statistic_label,month,property_type,unit,value
Residential Property Price Index,2005 January,National - all residential properties,Base 2015=100,124.9
Residential Property Price Index,2005 January,National - houses,Base 2015=100,120.7
Residential Property Price Index,2005 January,National - apartments,Base 2015=100,153.4
Residential Property Price Index,2005 January,Dublin - all residential properties,Base 2015=100,118.5
Residential Property Price Index,2005 January,Dublin - houses,Base 2015=100,112.0
Residential Property Price Index,2005 January,Dublin - apartments,Base 2015=100,144.0
Residential Property Price Index,2005 January,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 January,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 January,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 January,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 January,National excluding Dublin - all residential properties,Base 2015=100,142.1
Residential Property Price Index,2005 January,National excluding Dublin - houses,Base 2015=100,139.0
Residential Property Price Index,2005 January,National excluding Dublin - apartments,Base 2015=100,200.3
Residential Property Price Index,2005 January,Border - houses,Base 2015=100,
Residential Property Price Index,2005 January,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 January,West - houses,Base 2015=100,
Residential Property Price Index,2005 January,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 January,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 January,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 January,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 February,National - all residential properties,Base 2015=100,125.9
Residential Property Price Index,2005 February,National - houses,Base 2015=100,121.8
Residential Property Price Index,2005 February,National - apartments,Base 2015=100,153.8
Residential Property Price Index,2005 February,Dublin - all residential properties,Base 2015=100,121.0
Residential Property Price Index,2005 February,Dublin - houses,Base 2015=100,113.9
Residential Property Price Index,2005 February,Dublin - apartments,Base 2015=100,148.8
Residential Property Price Index,2005 February,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 February,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 February,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 February,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 February,National excluding Dublin - all residential properties,Base 2015=100,142.2
